,Variable,Category,Wage_m,Wage_f,Wage_Avg,Wage_Diff,Sex,Count,Year
12,DIV,South Atlantic,54812.405,52786.023,53799.214,2026.382,Male,99179,2010
13,DIV,South Atlantic,42558.416,41796.417,42177.416,761.999,Female,84057,2010
14,DIV,West North Central,49100.114,48598.073,48849.094,502.041,Male,35747,2010
15,DIV,West North Central,37988.864,37440.933,37714.898,547.931,Female,28885,2010
16,DIV,West South Central,52512.001,51042.484,51777.242,1469.517,Male,60320,2010
17,DIV,West South Central,39155.055,38560.699,38857.877,594.356,Female,46497,2010
0,SEX,Male,54606.842,53817.535,54212.189,789.307,Male,502318,2011
1,SEX,Female,42210.996,42381.52,42296.258,-170.524,Female,396717,2011
0,EDU,B.S. Degree,68913.793,63703.782,66308.788,5210.011,Male,108019,2011
1,EDU,B.S. Degree,52802.557,50100.415,51451.486,2702.142,Female,95118,2011
2,EDU,Highschool,39003.348,39474.304,39238.826,-470.956,Male,135041,2011
3,EDU,Highschool,30107.185,30012.991,30060.088,94.194,Female,87560,2011
4,EDU,M.S. Degree,84830.732,72233.904,78532.318,12596.828,Male,42904,2011
5,EDU,M.S. Degree,66855.527,60985.714,63920.621,5869.813,Female,47057,2011
6,EDU,No Highschool,30630.419,29886.996,30258.708,743.423,Male,42480,2011
7,EDU,No Highschool,24065.36,24131.045,24098.202,-65.685,Female,18826,2011
8,EDU,PhD,114716.3,108322.158,111519.229,6394.142,Male,23958,2011
9,EDU,PhD,86732.804,83276.837,85004.82,3455.967,Female,14912,2011
10,EDU,Some College,46891.717,46962.873,46927.295,-71.156,Male,149916,2011
11,EDU,Some College,36456.072,36430.615,36443.344,25.457,Female,133244,2011
0,JOB,Art,62246.93,54022.268,58134.599,8224.662,Male,37431,2011
1,JOB,Art,51195.702,45843.859,48519.78,5351.843,Female,65828,2011
2,JOB,Business,80118.287,75803.753,77961.02,4314.534,Male,87604,2011
3,JOB,Business,60192.319,57649.451,58920.885,2542.868,Female,70295,2011
4,JOB,Healthcare,99642.808,66931.169,83286.988,32711.639,Male,15099,2011
5,JOB,Healthcare,77046.17,57070.514,67058.342,19975.656,Female,40713,2011
6,JOB,Maintenance,41493.111,41738.706,41615.908,-245.595,Male,81563,2011
7,JOB,Maintenance,33774.378,34546.931,34160.654,-772.553,Female,3068,2011
8,JOB,Military,41017.145,41766.85,41391.998,-749.705,Male,4291,2011
9,JOB,Military,31971.151,32794.826,32382.988,-823.675,Female,520,2011
10,JOB,Production,39603.626,38625.473,39114.549,978.153,Male,48137,2011
11,JOB,Production,29252.219,28608.372,28930.296,643.847,Female,16482,2011
12,JOB,Sales,49011.66,45785.404,47398.532,3226.256,Male,80925,2011
13,JOB,Sales,35973.505,34392.413,35182.959,1581.092,Female,127025,2011
14,JOB,Science,74778.024,74701.977,74740,76.047,Male,45321,2011
15,JOB,Science,61662.063,62203.471,61932.767,-541.408,Female,14873,2011
16,JOB,Services,36344.677,34647.204,35495.94,1697.473,Male,55939,2011
17,JOB,Services,26844.897,26024.965,26434.931,819.932,Female,50955,2011
18,JOB,Transport,37423.285,37622.837,37523.061,-199.552,Male,46008,2011
19,JOB,Transport,29194.221,29485.911,29340.066,-291.69,Female,6958,2011
0,RACE,Asian,62759.499,58203.733,60481.616,4555.766,Male,24923,2011
1,RACE,Asian,53601.7,50832.364,52217.032,2769.336,Female,20635,2011
2,RACE,Black,41471.777,43362.132,42416.954,-1890.355,Male,36722,2011
3,RACE,Black,35731.7,37546.575,36639.138,-1814.875,Female,44188,2011
4,RACE,Hispanic,37742.773,41298.991,39520.882,-3556.218,Male,64124,2011
5,RACE,Hispanic,30716.214,34367.146,32541.68,-3650.932,Female,42110,2011
6,RACE,Mixed,49519.756,49287.889,49403.822,231.867,Male,6920,2011
7,RACE,Mixed,40652.039,41066.522,40859.28,-414.483,Female,5843,2011
8,RACE,Native,41635.261,42248.656,41941.958,-613.395,Male,4005,2011
9,RACE,Native,35024.214,35921.496,35472.855,-897.282,Female,3720,2011
10,RACE,White,58566.381,57272.497,57919.439,1293.884,Male,365624,2011
11,RACE,White,44209.509,43839.168,44024.338,370.341,Female,280221,2011
0,AGE,18-22,23358.432,23703.353,23530.892,-344.921,Male,13915,2011
1,AGE,18-22,21536.66,21750.337,21643.498,-213.677,Female,8138,2011
2,AGE,23-28,34123.428,35078.398,34600.913,-954.97,Male,51472,2011
3,AGE,23-28,29338.305,31651.604,30494.954,-2313.299,Female,42690,2011
4,AGE,29-36,47457.446,49348.792,48403.119,-1891.346,Male,87949,2011
5,AGE,29-36,38680.226,41199.85,39940.038,-2519.624,Female,66297,2011
6,AGE,37-45,58948.643,58769.328,58858.985,179.315,Male,110878,2011
7,AGE,37-45,44742.321,45180.104,44961.212,-437.783,Female,83136,2011
8,AGE,46-55,61669.913,60053.039,60861.476,1616.874,Male,139737,2011
9,AGE,46-55,46016.452,45145.71,45581.081,870.742,Female,115453,2011
10,AGE,56-70,61210.109,56406.663,58808.386,4803.446,Male,98367,2011
11,AGE,56-70,46769.057,44264.177,45516.617,2504.88,Female,81003,2011
0,DIV,East North Central,52671.001,51807.734,52239.367,863.267,Male,75894,2011
1,DIV,East North Central,40336.341,40285.984,40311.162,50.357,Female,59195,2011
2,DIV,East South Central,48531.79,47823.227,48177.508,708.563,Male,27794,2011
3,DIV,East South Central,36263.34,36211.416,36237.378,51.924,Female,22609,2011
4,DIV,Middle Atlantic,56692.536,56475.742,56584.139,216.794,Male,68152,2011
5,DIV,Middle Atlantic,44862.163,46013.61,45437.886,-1151.447,Female,56242,2011
6,DIV,Mountain,52584.289,51438.942,52011.616,1145.347,Male,35591,2011
7,DIV,Mountain,41102.838,40348.18,40725.509,754.658,Female,26253,2011
8,DIV,New England,61969.993,60755.587,61362.79,1214.406,Male,25309,2011
9,DIV,New England,48067.07,48717.127,48392.098,-650.057,Female,20623,2011
10,DIV,Pacific,59440.601,59243.873,59342.237,196.728,Male,78841,2011
11,DIV,Pacific,46635.778,47793.084,47214.431,-1157.306,Female,57521,2011
12,DIV,South Atlantic,54939.541,53337.924,54138.732,1601.617,Male,96816,2011
13,DIV,South Atlantic,42713.675,42005.478,42359.576,708.197,Female,81267,2011
14,DIV,West North Central,49108.712,49383.943,49246.328,-275.231,Male,35907,2011
15,DIV,West North Central,37556.044,37615.178,37585.611,-59.134,Female,28282,2011
16,DIV,West South Central,51906.937,51058.301,51482.619,848.636,Male,58014,2011
17,DIV,West South Central,38552.474,38716.326,38634.4,-163.852,Female,44725,2011
0,SEX,Male,55178.871,54773.254,54976.062,405.617,Male,513369,2012
1,SEX,Female,42873.183,43255.795,43064.489,-382.612,Female,402457,2012
0,EDU,B.S. Degree,69412.931,64310.443,66861.687,5102.488,Male,112608,2012
1,EDU,B.S. Degree,53946.768,50840.161,52393.464,3106.607,Female,99146,2012
2,EDU,Highschool,39829.207,40186.207,40007.707,-357,Male,135745,2012
3,EDU,Highschool,30626.011,30638.311,30632.161,-12.3,Female,85778,2012
4,EDU,M.S. Degree,84842.834,73474.391,79158.612,11368.443,Male,44893,2012
5,EDU,M.S. Degree,67790.397,61947.138,64868.768,5843.259,Female,49140,2012
6,EDU,No Highschool,31609.332,30800.318,31204.825,809.014,Male,42300,2012
7,EDU,No Highschool,24393.244,24688.06,24540.652,-294.816,Female,18220,2012
8,EDU,PhD,110802.065,105220.528,108011.296,5581.537,Male,23358,2012
9,EDU,PhD,85961.559,83496.254,84728.906,2465.305,Female,15123,2012
10,EDU,Some College,47713.176,47817.107,47765.142,-103.931,Male,154465,2012
11,EDU,Some College,36866.338,36899.617,36882.978,-33.279,Female,135050,2012
0,JOB,Art,61592.249,54466.454,58029.352,7125.795,Male,37217,2012
1,JOB,Art,51227.596,46289.654,48758.625,4937.942,Female,65745,2012
2,JOB,Business,79597.328,76164.091,77880.71,3433.237,Male,90459,2012
3,JOB,Business,60934.019,58997.677,59965.848,1936.342,Female,72155,2012
4,JOB,Healthcare,96435.199,67724.003,82079.601,28711.196,Male,15182,2012
5,JOB,Healthcare,75550.586,57786.386,66668.486,17764.2,Female,41854,2012
6,JOB,Maintenance,42350.604,42708.765,42529.684,-358.161,Male,83053,2012
7,JOB,Maintenance,34461.65,35377.302,34919.476,-915.652,Female,3170,2012
8,JOB,Military,41973.1,42591.777,42282.439,-618.677,Male,4405,2012
9,JOB,Military,33254.244,34383.923,33819.084,-1129.679,Female,524,2012
10,JOB,Production,40900.515,39897.619,40399.067,1002.896,Male,48903,2012
11,JOB,Production,29540.114,29078.951,29309.532,461.163,Female,16326,2012
12,JOB,Sales,49979.17,47094.111,48536.64,2885.059,Male,82349,2012
13,JOB,Sales,36698.456,35181.041,35939.748,1517.415,Female,128908,2012
14,JOB,Science,76598.154,76780.906,76689.53,-182.752,Male,47312,2012
15,JOB,Science,63752.477,64050.302,63901.39,-297.825,Female,15186,2012
16,JOB,Services,36796.548,35167.636,35982.092,1628.912,Male,57074,2012
17,JOB,Services,27261.817,26518.36,26890.088,743.457,Female,51309,2012
18,JOB,Transport,38557.463,38811.789,38684.626,-254.326,Male,47415,2012
19,JOB,Transport,29456.463,29724.353,29590.408,-267.89,Female,7280,2012
0,RACE,Asian,63416.15,59117.847,61266.998,4298.303,Male,26010,2012
1,RACE,Asian,54630.714,52091.647,53361.18,2539.067,Female,21451,2012
2,RACE,Black,42502.274,44315.146,43408.71,-1812.872,Male,37229,2012
3,RACE,Black,36022.595,38345.105,37183.85,-2322.51,Female,43942,2012
4,RACE,Hispanic,38560.361,42177.251,40368.806,-3616.89,Male,66671,2012
5,RACE,Hispanic,30983.445,34830.507,32906.976,-3847.062,Female,44684,2012
6,RACE,Mixed,50601.286,50727.622,50664.454,-126.336,Male,7319,2012
7,RACE,Mixed,41365.654,42147.458,41756.556,-781.804,Female,6009,2012
8,RACE,Native,41702.175,43833.613,42767.894,-2131.438,Male,4127,2012
9,RACE,Native,34922.716,36103.333,35513.024,-1180.617,Female,3972,2012
10,RACE,White,59089.432,58303.566,58696.499,785.866,Male,372013,2012
11,RACE,White,44985.402,44806.059,44895.731,179.343,Female,282399,2012
0,AGE,18-22,23705.92,23929.197,23817.558,-223.277,Male,14488,2012
1,AGE,18-22,21206.025,21552.835,21379.43,-346.81,Female,8129,2012
2,AGE,23-28,34565.013,35456.444,35010.728,-891.431,Male,53196,2012
